"141000,1404"
"Seven of Diamonds | Five of Clubs,1263,118"
"Seven of Spades | Six of Hearts,818,73"
"Eight of Hearts | Three of Diamonds,847,50"
"Ten of Spades | Five of Spades,926,117"
"Jack of Clubs | Ten of Diamonds,1298,191"
"Six of Hearts | Two of Hearts,852,84"
"Ace of Hearts | Nine of Clubs,1246,164"
"Nine of Clubs | Five of Clubs,1902,319"
"Nine of Clubs | Nine of Diamonds,660,100"
"King of Clubs | Two of Diamonds,1277,134"
"Queen of Clubs | Jack of Diamonds,1272,203"
"Ten of Spades | Eight of Clubs,1284,129"
"Seven of Clubs | Three of Hearts,1336,90"
"King of Hearts | Six of Hearts,782,88"
"Six of Hearts | Four of Clubs,1217,88"
"Jack of Spades | Four of Hearts,835,68"
"Ace of Clubs | King of Hearts,1293,261"
"Three of Diamonds | Two of Spades,829,54"
"King of Diamonds | Eight of Hearts,792,88"
"Eight of Hearts | Three of Hearts,816,75"
"Ace of Clubs | Eight of Diamonds,1263,197"
"Three of Hearts | Two of Spades,885,65"
"Queen of Hearts | Six of Clubs,1294,110"
"Queen of Hearts | Five of Diamonds,828,72"
"King of Spades | Five of Clubs,1228,97"
"Six of Diamonds | Two of Clubs,1235,77"
"Ace of Diamonds | Three of Hearts,866,97"
"Three of Diamonds | Three of Clubs,612,61"
"Five of Spades | Three of Clubs,1231,109"
"Ace of Clubs | Four of Diamonds,1284,190"
"Eight of Hearts | Eight of Clubs,609,72"
"Four of Hearts | Four of Clubs,622,64"
"Seven of Clubs | Two of Clubs,1924,277"
"Queen of Spades | Five of Hearts,883,71"
"Nine of Diamonds | Five of Clubs,1321,104"
"Jack of Diamonds | Five of Hearts,821,56"
"Ace of Clubs | Four of Spades,1222,171"
"Three of Hearts | Three of Spades,421,57"
"Four of Spades | Four of Hearts,368,33"
"King of Clubs | Queen of Hearts,1234,217"
"Queen of Diamonds | Three of Clubs,1218,85"
"Eight of Spades | Eight of Clubs,645,82"
"Jack of Spades | Eight of Clubs,1338,129"
"King of Clubs | Queen of Diamonds,1310,217"
"Eight of Diamonds | Two of Clubs,1236,65"
"Eight of Diamonds | Three of Clubs,1224,65"
"Ten of Spades | Two of Hearts,862,63"
"Ace of Spades | King of Hearts,823,137"
"Ten of Spades | Five of Clubs,1261,92"
"Nine of Spades | Three of Hearts,863,59"
"Ace of Diamonds | Seven of Clubs,1257,135"
"Ten of Diamonds | Nine of Clubs,1207,131"
"King of Diamonds | Ten of Hearts,848,104"
"Nine of Diamonds | Seven of Clubs,1262,117"
"Ten of Clubs | Five of Diamonds,1278,95"
"Ace of Hearts | Ten of Diamonds,854,109"
"Ace of Hearts | Two of Spades,824,92"
"Four of Clubs | Two of Diamonds,1318,81"
"Jack of Spades | Nine of Spades,814,105"
"Queen of Diamonds | Eight of Diamonds,914,112"
"King of Hearts | Jack of Diamonds,827,112"
"Ace of Hearts | Queen of Spades,822,123"
"Eight of Diamonds | Four of Hearts,808,53"
"Eight of Spades | Six of Hearts,856,73"
"Seven of Hearts | Six of Hearts,816,101"
"Eight of Hearts | Seven of Diamonds,826,93"
"King of Diamonds | Queen of Spades,833,111"
"Queen of Spades | Six of Diamonds,857,80"
"Nine of Diamonds | Four of Hearts,863,55"
"Seven of Clubs | Five of Clubs,1861,305"
"Ace of Clubs | Ten of Hearts,1307,216"
"King of Hearts | Two of Diamonds,816,62"
"King of Clubs | Seven of Spades,1206,156"
"King of Hearts | Nine of Spades,817,103"
"Eight of Clubs | Three of Clubs,1925,270"
"King of Clubs | Six of Spades,1259,165"
"Nine of Spades | Two of Hearts,857,39"
"Seven of Diamonds | Two of Clubs,1249,66"
"Six of Spades | Three of Spades,870,75"
"Ace of Hearts | Five of Clubs,1238,154"
"King of Diamonds | Five of Hearts,828,82"
"Nine of Diamonds | Six of Spades,830,76"
"Nine of Diamonds | Two of Clubs,1275,77"
"Ten of Diamonds | Five of Diamonds,848,88"
"Seven of Clubs | Seven of Hearts,662,79"
"Ace of Hearts | Jack of Diamonds,830,113"
"Ten of Diamonds | Seven of Spades,817,80"
"King of Diamonds | Five of Clubs,1313,120"
"Queen of Hearts | Queen of Clubs,664,138"
"Four of Spades | Two of Spades,851,78"
"Ace of Clubs | Ace of Spades,625,193"
"Jack of Spades | Five of Spades,829,85"
"Ten of Hearts | Seven of Diamonds,822,74"
"Ace of Spades | Six of Clubs,1253,119"
"Jack of Clubs | Two of Spades,1285,92"
"King of Diamonds | Three of Diamonds,872,90"
"Nine of Diamonds | Six of Diamonds,855,91"
"Seven of Clubs | Three of Clubs,1950,266"
"Eight of Clubs | Eight of Spades,645,87"
"Six of Hearts | Three of Spades,819,63"
"Ten of Hearts | Eight of Clubs,1264,161"
"Ace of Hearts | Queen of Hearts,813,160"
"Queen of Diamonds | Ten of Clubs,1313,171"
"Jack of Clubs | Three of Spades,1297,108"
"Seven of Spades | Two of Spades,822,79"
"Nine of Hearts | Eight of Clubs,1311,134"
"Ace of Hearts | Four of Spades,838,94"
"Nine of Spades | Six of Clubs,1235,94"
"Three of Clubs | Two of Spades,1306,102"
"Eight of Spades | Seven of Spades,856,103"
"Ten of Clubs | Two of Clubs,1944,313"
"Ace of Spades | Jack of Diamonds,838,118"
"Ace of Clubs | Ten of Diamonds,1255,215"
"Seven of Spades | Two of Hearts,853,57"
"Nine of Spades | Four of Clubs,1239,73"
"Queen of Spades | Three of Clubs,1294,121"
"Ace of Hearts | Eight of Clubs,1219,114"
"Nine of Hearts | Two of Clubs,1288,73"
"Queen of Clubs | Three of Clubs,1901,383"
"Six of Hearts | Three of Hearts,841,82"
"Jack of Hearts | Six of Hearts,791,74"
"Ace of Hearts | Two of Diamonds,815,101"
"Ace of Diamonds | Ten of Hearts,849,127"
"Three of Hearts | Three of Diamonds,446,68"
"Five of Clubs | Four of Clubs,1949,321"
"King of Diamonds | Queen of Hearts,888,144"
"King of Hearts | King of Diamonds,417,119"
"Queen of Hearts | Nine of Diamonds,848,72"
"Five of Clubs | Four of Hearts,1236,103"
"Queen of Hearts | Six of Hearts,818,98"
"King of Diamonds | Three of Spades,806,77"
"King of Clubs | Jack of Hearts,1262,204"
"Eight of Clubs | Two of Hearts,1254,65"
"Ace of Spades | Five of Hearts,869,115"
"Jack of Hearts | Four of Clubs,1280,94"
"Ace of Hearts | Six of Clubs,1279,135"
"Seven of Hearts | Three of Spades,857,51"
"King of Clubs | Five of Hearts,1214,141"
"Six of Clubs | Five of Hearts,1227,109"
"Ace of Hearts | Two of Clubs,1299,115"
"King of Spades | King of Clubs,640,182"
"Ten of Hearts | Eight of Diamonds,881,102"
"Four of Hearts | Three of Hearts,879,87"
"Seven of Hearts | Three of Diamonds,864,61"
"Five of Diamonds | Two of Diamonds,835,79"
"Queen of Spades | Four of Spades,820,81"
"King of Hearts | Eight of Diamonds,807,65"
"Eight of Clubs | Seven of Hearts,1224,127"
"King of Diamonds | Five of Spades,816,74"
"Nine of Clubs | Seven of Hearts,1256,137"
"Ace of Clubs | Nine of Clubs,1918,502"
"King of Diamonds | Three of Hearts,924,73"
"Jack of Hearts | Seven of Clubs,1268,107"
"Jack of Clubs | Seven of Spades,1302,146"
"Nine of Diamonds | Eight of Hearts,842,88"
"Ten of Hearts | Three of Spades,874,61"
"Ten of Clubs | Eight of Hearts,1204,148"
"Jack of Diamonds | Jack of Clubs,626,101"
"Seven of Spades | Six of Clubs,1332,120"
"Jack of Diamonds | Eight of Clubs,1305,128"
"King of Hearts | Five of Diamonds,783,77"
"Eight of Clubs | Eight of Hearts,666,83"
"Seven of Hearts | Five of Hearts,812,101"
"Jack of Diamonds | Jack of Spades,417,76"
"Jack of Spades | Six of Diamonds,800,76"
"Jack of Diamonds | Three of Diamonds,795,78"
"Jack of Diamonds | Three of Spades,838,52"
"Seven of Hearts | Five of Diamonds,842,69"
"Six of Clubs | Four of Diamonds,1271,111"
"Queen of Clubs | Eight of Diamonds,1236,148"
"Eight of Clubs | Seven of Clubs,1956,368"
"Six of Spades | Six of Hearts,388,60"
"Eight of Spades | Seven of Diamonds,814,84"
"King of Diamonds | Eight of Clubs,1303,116"
"Nine of Hearts | Eight of Hearts,868,107"
"Nine of Clubs | Seven of Diamonds,1259,116"
"Seven of Spades | Four of Hearts,842,65"
"Queen of Hearts | Eight of Clubs,1267,136"
"Six of Clubs | Two of Clubs,1818,266"
"Three of Diamonds | Two of Clubs,1316,58"
"Five of Hearts | Three of Diamonds,818,77"
"Ace of Hearts | Four of Hearts,889,129"
"King of Clubs | Two of Clubs,1882,382"
"Queen of Clubs | Six of Clubs,1837,370"
"Queen of Clubs | Queen of Spades,637,145"
"Jack of Spades | Nine of Clubs,1185,148"
"Jack of Diamonds | Two of Clubs,1236,70"
"Nine of Diamonds | Four of Spades,836,57"
"Queen of Clubs | Four of Hearts,1266,108"
"Three of Diamonds | Two of Hearts,859,59"
"King of Spades | Nine of Hearts,825,105"
"King of Hearts | Two of Clubs,1271,96"
"Ace of Spades | Five of Clubs,1270,117"
"Six of Clubs | Two of Spades,1234,79"
"Nine of Clubs | Seven of Spades,1291,134"
"Ten of Spades | Three of Hearts,833,56"
"Ten of Hearts | Seven of Hearts,837,107"
"Five of Spades | Three of Hearts,877,71"
"Ten of Diamonds | Eight of Clubs,1272,127"
"King of Diamonds | Jack of Clubs,1261,194"
"King of Spades | Five of Spades,868,94"
"Nine of Spades | Six of Diamonds,860,79"
"Ace of Spades | Nine of Clubs,1189,144"
"Queen of Diamonds | Three of Diamonds,865,93"
"Jack of Clubs | Four of Spades,1296,99"
"Queen of Diamonds | Five of Diamonds,882,94"
"Ace of Clubs | Ace of Diamonds,668,213"
"Jack of Hearts | Five of Clubs,1300,102"
