"3354000,1404"
"Jack of Hearts | Ten of Hearts,15236,2730"
"Ten of Diamonds | Four of Spades,15286,1430"
"Ten of Hearts | Five of Spades,15224,1445"
"Ten of Diamonds | Five of Diamonds,15462,1846"
"Jack of Hearts | Eight of Clubs,24254,3110"
"Five of Spades | Four of Spades,15214,1823"
"Jack of Hearts | Four of Clubs,24201,2209"
"King of Spades | Seven of Spades,15293,2226"
"Ten of Spades | Four of Clubs,24239,2171"
"Nine of Spades | Four of Spades,15406,1621"
"Nine of Spades | Five of Clubs,24472,2246"
"Eight of Diamonds | Five of Diamonds,15439,1848"
"Jack of Clubs | Jack of Diamonds,12295,2807"
"Five of Clubs | Four of Clubs,39491,7611"
"Six of Spades | Six of Diamonds,7623,1291"
"Ace of Spades | Nine of Diamonds,15451,2260"
"Ace of Diamonds | Ten of Clubs,24565,4322"
"Nine of Spades | Six of Spades,15411,2016"
"Seven of Diamonds | Three of Spades,15385,1243"
"King of Clubs | Queen of Diamonds,24682,5360"
"Ten of Hearts | Eight of Spades,15371,1928"
"Ace of Diamonds | Nine of Clubs,24429,3684"
"Jack of Hearts | Seven of Diamonds,15259,1809"
"Ten of Diamonds | Six of Hearts,15153,1598"
"Eight of Diamonds | Two of Hearts,15523,1218"
"King of Clubs | Nine of Clubs,39321,10668"
"Nine of Clubs | Two of Clubs,39223,6879"
"Three of Spades | Three of Clubs,11909,1389"
"Five of Diamonds | Four of Hearts,15366,1539"
"Seven of Hearts | Six of Spades,15268,1731"
"Jack of Diamonds | Five of Clubs,24403,2484"
"King of Spades | Four of Hearts,15210,1767"
"Ten of Hearts | Five of Diamonds,15314,1462"
"Jack of Hearts | Nine of Clubs,24455,3664"
"Five of Hearts | Three of Clubs,24506,2214"
"Jack of Hearts | Five of Hearts,15371,1859"
"King of Diamonds | Seven of Diamonds,15518,2224"
"Ace of Hearts | Seven of Diamonds,15382,2106"
"Jack of Hearts | Eight of Spades,15299,1942"
"Nine of Diamonds | Four of Clubs,24464,2002"
"Six of Diamonds | Five of Diamonds,15439,2003"
"Ace of Spades | King of Clubs,24475,5663"
"Jack of Diamonds | Seven of Spades,15324,1755"
"Eight of Clubs | Six of Hearts,24299,2725"
"Ten of Clubs | Three of Clubs,38985,7375"
"Ten of Clubs | Three of Diamonds,24622,2415"
"Jack of Spades | Nine of Spades,15375,2402"
"Ten of Hearts | Four of Hearts,15478,1731"
"Nine of Spades | Seven of Hearts,15439,1781"
"Ace of Spades | Nine of Hearts,15253,2260"
"Five of Spades | Five of Diamonds,7636,1188"
"Jack of Diamonds | Five of Spades,15448,1591"
"Queen of Diamonds | Eight of Spades,15376,1904"
"Six of Spades | Four of Clubs,24362,2260"
"Jack of Spades | Jack of Hearts,7539,1914"
"Three of Clubs | Two of Hearts,24590,1822"
"Seven of Diamonds | Two of Diamonds,15261,1455"
"Four of Spades | Three of Spades,15114,1757"
"King of Hearts | Four of Hearts,15421,2076"
"Six of Clubs | Five of Diamonds,24277,2551"
"Ace of Hearts | Queen of Hearts,15347,3191"
"Ace of Hearts | King of Spades,15401,3083"
"Ace of Clubs | Eight of Clubs,39099,11004"
"Queen of Diamonds | Two of Clubs,24520,2241"
"Ace of Clubs | Nine of Diamonds,24422,4511"
"Ace of Clubs | Queen of Diamonds,24464,5621"
"Seven of Diamonds | Four of Spades,15352,1459"
"King of Diamonds | Two of Spades,15171,1550"
"Six of Spades | Five of Diamonds,15417,1621"
"Jack of Clubs | Four of Spades,24513,2611"
"King of Hearts | Eight of Diamonds,15552,2080"
"Jack of Spades | Three of Spades,15473,1811"
"Jack of Diamonds | Five of Hearts,15317,1553"
"Ten of Diamonds | Nine of Clubs,24586,3644"
"Five of Hearts | Four of Clubs,24293,2460"
"King of Hearts | Jack of Spades,15353,2658"
"King of Diamonds | Eight of Hearts,15358,1971"
"Ten of Clubs | Five of Diamonds,24361,2601"
"Queen of Diamonds | Five of Clubs,24413,2534"
"Queen of Diamonds | Eight of Diamonds,15198,2194"
"Seven of Diamonds | Three of Diamonds,15316,1643"
"Nine of Hearts | Three of Clubs,24466,1810"
"Jack of Spades | Five of Clubs,24275,2351"
"King of Clubs | Four of Hearts,24526,3373"
"Ten of Clubs | Nine of Diamonds,24486,3874"
"Jack of Clubs | Three of Diamonds,24486,2673"
"Nine of Clubs | Two of Diamonds,24306,1963"
"Four of Diamonds | Two of Hearts,15330,1239"
"Ten of Diamonds | Eight of Hearts,15556,2035"
"King of Hearts | Two of Spades,15404,1650"
"King of Diamonds | Seven of Hearts,15324,1902"
"Eight of Spades | Five of Clubs,24392,2365"
"Nine of Clubs | Four of Hearts,24643,2101"
"Queen of Hearts | Seven of Hearts,15310,2157"
"Seven of Hearts | Three of Hearts,15269,1514"
"Four of Clubs | Three of Diamonds,24332,2153"
"Nine of Hearts | Seven of Diamonds,15302,1758"
"King of Spades | Nine of Spades,15383,2492"
"Five of Diamonds | Two of Clubs,24526,1941"
"Six of Clubs | Three of Hearts,24409,2052"
"Queen of Spades | Six of Clubs,24641,2657"
"Three of Clubs | Two of Spades,24378,1795"
"Ace of Hearts | Ten of Diamonds,15387,2684"
"Eight of Hearts | Three of Clubs,24562,1813"
"Ten of Clubs | Eight of Diamonds,24571,3439"
"King of Diamonds | Ten of Clubs,24490,4359"
"Jack of Spades | Five of Spades,15296,1879"
"Eight of Diamonds | Two of Clubs,24588,1658"
"Queen of Hearts | Four of Clubs,24307,2387"
"Six of Diamonds | Six of Spades,7771,1358"
"King of Spades | Jack of Diamonds,15305,2677"
"Jack of Clubs | Two of Clubs,38994,7839"
"Ace of Diamonds | King of Clubs,24482,5747"
"Jack of Hearts | Nine of Diamonds,15488,2126"
"Ace of Hearts | Ace of Clubs,11914,4515"
"Six of Hearts | Five of Spades,15221,1652"
"Three of Clubs | Three of Spades,12285,1373"
"Seven of Hearts | Four of Clubs,24622,2157"
"Queen of Clubs | Six of Hearts,24330,3158"
"Four of Diamonds | Three of Diamonds,15376,1703"
"Ace of Clubs | Nine of Clubs,39326,11179"
"Ace of Spades | Four of Clubs,24602,3216"
"Nine of Clubs | Three of Clubs,38954,6886"
"King of Spades | Four of Spades,15456,2031"
"Five of Clubs | Two of Hearts,24576,2014"
"Ace of Spades | Eight of Diamonds,15326,2119"
"Four of Hearts | Two of Diamonds,15307,1208"
"Five of Diamonds | Three of Hearts,15499,1467"
"Nine of Spades | Nine of Clubs,11960,2022"
"Nine of Spades | Eight of Diamonds,15509,1975"
"King of Hearts | Three of Diamonds,15261,1670"
"Five of Diamonds | Two of Diamonds,15289,1615"
"Queen of Hearts | Five of Spades,15402,1631"
"King of Spades | Jack of Spades,15251,2867"
"Queen of Spades | Four of Clubs,24369,2397"
"Queen of Spades | Three of Spades,15288,1854"
"Jack of Clubs | Eight of Spades,24551,3435"
"Eight of Diamonds | Seven of Spades,15425,1815"
"Seven of Hearts | Five of Diamonds,15421,1611"
"Five of Clubs | Three of Spades,24488,2304"
"Jack of Hearts | Five of Spades,15507,1585"
"Ten of Spades | Two of Spades,15341,1599"
"Six of Hearts | Four of Clubs,24611,2260"
"Eight of Hearts | Five of Clubs,24309,2289"
"Five of Diamonds | Two of Spades,15346,1345"
"Jack of Hearts | Six of Clubs,24507,2420"
"Ten of Clubs | Nine of Spades,24520,3863"
"Queen of Clubs | Two of Clubs,39214,8379"
"Jack of Diamonds | Six of Hearts,15418,1602"
"Six of Clubs | Three of Spades,24282,2055"
"Nine of Diamonds | Three of Clubs,24165,1834"
"Queen of Hearts | Four of Diamonds,15429,1632"
"Ten of Spades | Six of Diamonds,15439,1612"
"Jack of Spades | Four of Clubs,24266,2217"
"Ace of Clubs | Ace of Diamonds,12262,4776"
"Ace of Clubs | Eight of Spades,24452,4310"
"Five of Hearts | Two of Diamonds,15432,1324"
"Four of Hearts | Three of Hearts,15266,1789"
"Queen of Hearts | Five of Clubs,24522,2393"
"Queen of Clubs | Ten of Clubs,39169,11045"
"Seven of Spades | Seven of Diamonds,7658,1337"
"Eight of Spades | Four of Hearts,15331,1434"
"Ace of Hearts | Seven of Hearts,15378,2381"
"Three of Spades | Three of Hearts,7552,1123"
"Nine of Spades | Eight of Clubs,24564,3101"
"Ten of Spades | Four of Spades,15483,1801"
"Queen of Spades | Jack of Diamonds,15426,2615"
"Nine of Diamonds | Seven of Hearts,15325,1827"
"Eight of Clubs | Seven of Clubs,39350,8287"
"Queen of Clubs | Four of Hearts,24335,2953"
"Eight of Spades | Seven of Hearts,15287,1834"
"Ten of Diamonds | Ten of Spades,7776,1720"
"Ten of Hearts | Two of Spades,15397,1355"
"King of Hearts | Nine of Spades,15355,2167"
"King of Clubs | Six of Diamonds,24719,3618"
"Ace of Diamonds | Nine of Diamonds,15524,2632"
"Three of Hearts | Two of Diamonds,15090,1200"
"Seven of Spades | Three of Diamonds,15204,1251"
"Nine of Hearts | Five of Spades,15582,1516"
"Ace of Spades | Two of Clubs,24651,2877"
"Jack of Clubs | Eight of Diamonds,24728,3526"
"Jack of Diamonds | Two of Spades,15640,1419"
"Seven of Hearts | Two of Spades,15666,1061"
"Six of Clubs | Six of Hearts,12403,1672"
"Jack of Clubs | Three of Clubs,38914,7909"
"Ace of Diamonds | Jack of Hearts,15090,2689"
"Jack of Clubs | Eight of Clubs,39287,9201"
"Seven of Spades | Three of Hearts,15307,1210"
"Ace of Clubs | Seven of Diamonds,24429,4327"
"Nine of Spades | Nine of Diamonds,7670,1529"
"Queen of Diamonds | Five of Diamonds,15385,1948"
"Ten of Spades | Five of Clubs,24380,2315"
"King of Hearts | King of Spades,7710,2438"
"Jack of Diamonds | Nine of Clubs,24402,3560"
"Eight of Hearts | Six of Diamonds,15164,1706"
"Queen of Diamonds | Three of Spades,15238,1590"
"Queen of Hearts | Queen of Diamonds,7592,2156"
"Ten of Spades | Eight of Hearts,15420,2059"
"Nine of Spades | Three of Diamonds,15587,1231"
"Ten of Diamonds | Ten of Clubs,12110,2414"
"Nine of Clubs | Eight of Spades,24573,3262"
"Seven of Clubs | Five of Hearts,24128,2592"
"Queen of Diamonds | Eight of Hearts,15416,1928"
"Jack of Spades | Eight of Clubs,24490,3181"
"Queen of Diamonds | Seven of Spades,15364,1804"
"Ace of Clubs | Six of Clubs,38919,10500"
"Nine of Hearts | Two of Clubs,24406,1798"
"Eight of Diamonds | Three of Hearts,15183,1226"
"Eight of Hearts | Five of Spades,15340,1520"
"Ace of Clubs | Two of Diamonds,24382,4022"
"Jack of Clubs | Six of Hearts,24358,2854"
"Ace of Spades | Queen of Hearts,15338,2950"
"Nine of Diamonds | Eight of Hearts,15650,2034"
"Queen of Hearts | Three of Diamonds,15431,1614"
"Four of Spades | Four of Clubs,12105,1433"
"Ace of Diamonds | Ace of Hearts,7618,2758"
"Six of Spades | Four of Spades,15367,1884"
"King of Diamonds | Nine of Clubs,24478,3572"
"Ace of Clubs | Three of Diamonds,24354,4129"
"Queen of Clubs | Four of Spades,24316,3013"
"Five of Diamonds | Five of Spades,7985,1198"
"Eight of Hearts | Seven of Spades,15418,1887"
"Three of Hearts | Two of Clubs,24744,1673"
"Queen of Hearts | Ten of Hearts,15392,2811"
"Eight of Diamonds | Four of Spades,15508,1327"
"Nine of Clubs | Nine of Diamonds,12337,2149"
"King of Clubs | Two of Diamonds,24295,3256"
"Nine of Spades | Six of Diamonds,15120,1580"
"Queen of Clubs | Two of Hearts,24592,2883"
"King of Hearts | Four of Clubs,24636,2684"
"Eight of Spades | Two of Spades,15416,1507"
"Jack of Diamonds | Six of Clubs,24465,2465"
"Eight of Clubs | Two of Spades,24551,1809"
"Jack of Clubs | Three of Hearts,24592,2723"
"Eight of Clubs | Four of Spades,24626,2156"
"Nine of Clubs | Nine of Hearts,12334,2302"
"Ace of Clubs | Queen of Clubs,38797,12617"
"Seven of Spades | Six of Spades,15292,1984"
"King of Diamonds | Nine of Diamonds,15311,2565"
"Jack of Hearts | Five of Diamonds,15425,1593"
"Nine of Clubs | Eight of Clubs,39124,8867"
"Ace of Clubs | Five of Spades,24503,4205"
"Queen of Diamonds | Two of Hearts,15505,1535"
"Eight of Clubs | Three of Clubs,39365,6566"
"Eight of Clubs | Two of Hearts,24765,1836"
"Jack of Spades | Ten of Spades,15223,2757"
"King of Clubs | Nine of Diamonds,24342,4147"
"Nine of Hearts | Six of Diamonds,15500,1680"
"Ten of Hearts | Seven of Diamonds,15250,1771"
"Six of Diamonds | Four of Hearts,15348,1478"
"Five of Diamonds | Five of Clubs,12265,1600"
"Four of Diamonds | Four of Hearts,7576,1185"
"Ace of Clubs | Nine of Hearts,24278,4483"
"Six of Clubs | Six of Spades,12335,1741"
"Jack of Clubs | Nine of Diamonds,24232,3842"
"Jack of Spades | Three of Diamonds,15502,1434"
"King of Clubs | Eight of Diamonds,24430,3835"
"Jack of Hearts | Eight of Diamonds,15292,1943"
"Jack of Diamonds | Eight of Clubs,24566,3117"
"Eight of Spades | Four of Spades,15424,1701"
"Ten of Diamonds | Three of Hearts,15444,1389"
"Queen of Diamonds | Five of Hearts,15104,1603"
"Ace of Clubs | King of Spades,24235,5854"
"Jack of Hearts | Seven of Spades,15477,1768"
"Queen of Spades | Seven of Clubs,24483,2707"
"Ten of Spades | Two of Clubs,24481,2015"
"Nine of Hearts | Two of Diamonds,15393,1272"
"Seven of Hearts | Six of Clubs,24530,2714"
"Ten of Clubs | Three of Spades,24418,2335"
"Ten of Spades | Two of Hearts,15248,1292"
"Five of Spades | Four of Hearts,15465,1586"
"Five of Clubs | Four of Spades,24409,2448"
"King of Clubs | Nine of Spades,24349,4189"
"Six of Clubs | Two of Clubs,39276,6311"
"Four of Spades | Three of Hearts,15655,1504"
"Jack of Diamonds | Eight of Spades,15093,1951"
"King of Diamonds | Queen of Clubs,24538,4948"
"Four of Clubs | Four of Spades,12293,1384"
"Ace of Hearts | Ten of Spades,15528,2544"
"King of Spades | Eight of Spades,15465,2304"
"Six of Spades | Six of Clubs,12137,1609"
"Ace of Clubs | Five of Diamonds,24575,4335"
"Seven of Diamonds | Seven of Spades,7745,1334"
"Ten of Hearts | Four of Diamonds,15243,1447"
"Queen of Clubs | Three of Spades,24266,2954"
